               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  89,            0.058219,            0.017938,              0.0111,             0.73953,             0.33634,             0.37908,             0.13697,            0.053308,            0.014247,           0.0096394,           0.0093295,           0.0093295,           0.0093295
                  90,            0.055197,            0.018391,            0.010932,             0.47308,             0.39291,              0.3654,             0.14724,            0.051453,            0.014111,           0.0095694,           0.0093146,           0.0093146,           0.0093146
                  91,            0.054941,            0.017182,            0.010968,             0.51628,              0.3817,             0.35805,             0.14402,            0.050701,            0.014234,           0.0094835,           0.0092995,           0.0092995,           0.0092995
                  92,            0.052919,            0.017861,            0.011489,              0.5473,             0.38268,              0.3864,             0.15282,            0.050558,            0.014189,           0.0092047,           0.0092843,           0.0092843,           0.0092843
                  93,            0.053401,            0.016756,           0.0096371,             0.60794,             0.44568,             0.43715,             0.17403,            0.048368,            0.013612,           0.0079713,           0.0092689,           0.0092689,           0.0092689
                  94,            0.056127,            0.016831,           0.0091261,             0.65763,             0.40108,             0.42328,             0.16189,            0.049167,            0.013547,           0.0079534,           0.0092534,           0.0092534,           0.0092534
                  95,            0.052895,            0.016959,           0.0087838,             0.53793,             0.33321,             0.34246,             0.12553,            0.052695,            0.014871,           0.0095664,           0.0092377,           0.0092377,           0.0092377
                  96,            0.054101,            0.016797,            0.010124,             0.50716,             0.40093,             0.38593,             0.15297,            0.051185,            0.014054,           0.0085019,           0.0092219,           0.0092219,           0.0092219
                  97,            0.055296,            0.017083,           0.0094826,             0.65634,             0.42805,             0.44851,             0.17138,            0.050251,            0.013335,           0.0074932,           0.0092059,           0.0092059,           0.0092059
                  98,            0.053854,            0.016754,            0.008945,             0.70161,             0.42043,              0.4675,             0.18025,            0.048062,            0.013189,           0.0072592,           0.0091898,           0.0091898,           0.0091898
                  99,            0.053674,            0.017743,           0.0093899,             0.61358,             0.47549,             0.47843,             0.19526,            0.047397,            0.013097,           0.0069773,           0.0091735,           0.0091735,           0.0091735
                 100,               0.052,            0.016843,           0.0087069,             0.69902,             0.44405,             0.48151,             0.18509,            0.047434,            0.013017,           0.0068002,           0.0091571,           0.0091571,           0.0091571
                 101,            0.054484,             0.01615,           0.0079048,             0.55593,             0.49903,             0.47391,              0.1766,            0.049236,            0.013003,           0.0068186,           0.0091406,           0.0091406,           0.0091406
                 102,            0.053498,            0.016749,           0.0097731,             0.62254,             0.39883,              0.4043,             0.15893,            0.048098,            0.013592,           0.0091256,           0.0091239,           0.0091239,           0.0091239
                 103,             0.05283,             0.01667,           0.0084954,             0.60206,             0.45735,             0.45754,             0.18617,            0.047777,             0.01315,           0.0072187,           0.0091071,           0.0091071,           0.0091071
                 104,            0.053969,             0.01642,           0.0087509,             0.60627,              0.4449,             0.45351,             0.18082,            0.047709,            0.013214,           0.0075513,           0.0090901,           0.0090901,           0.0090901
                 105,            0.054456,             0.01673,           0.0089331,             0.62437,             0.42773,             0.44824,             0.17758,            0.048461,             0.01319,           0.0071167,            0.009073,            0.009073,            0.009073
                 106,            0.053133,            0.016617,           0.0090358,             0.59572,             0.43197,             0.45677,             0.18634,            0.047535,            0.013179,           0.0068343,           0.0090557,           0.0090557,           0.0090557
                 107,            0.052073,            0.016202,           0.0088525,             0.61691,             0.45035,             0.48609,             0.19818,            0.046846,            0.012914,           0.0063375,           0.0090383,           0.0090383,           0.0090383
                 108,             0.05277,            0.016022,           0.0080332,             0.55117,              0.4793,             0.46823,             0.19679,             0.04678,            0.013093,           0.0069214,           0.0090208,           0.0090208,           0.0090208
                 109,            0.052823,            0.017058,           0.0088273,             0.63156,             0.45927,             0.47966,             0.17902,            0.047495,            0.012767,           0.0062525,           0.0090031,           0.0090031,           0.0090031
                 110,            0.051754,            0.017264,           0.0083895,             0.57189,             0.41066,             0.43236,             0.18216,            0.047534,            0.013474,           0.0067969,           0.0089853,           0.0089853,           0.0089853
                 111,              0.0528,              0.0167,           0.0085331,              0.5722,             0.50669,             0.49139,             0.20003,            0.046473,            0.012869,           0.0061802,           0.0089673,           0.0089673,           0.0089673
                 112,            0.052778,            0.015576,           0.0091773,             0.69867,             0.47852,             0.51268,             0.20581,            0.046608,             0.01282,           0.0061135,           0.0089492,           0.0089492,           0.0089492
                 113,            0.053128,            0.015852,           0.0091264,             0.65744,             0.48106,             0.51751,             0.21098,            0.046307,            0.013085,           0.0059395,            0.008931,            0.008931,            0.008931
                 114,            0.050543,            0.016632,           0.0082309,             0.64268,             0.51024,             0.51776,             0.21594,            0.045582,             0.01283,           0.0056952,           0.0089126,           0.0089126,           0.0089126
                 115,            0.050536,            0.015828,           0.0073432,             0.58939,              0.5502,             0.53004,             0.22151,            0.045555,             0.01246,           0.0058202,           0.0088941,           0.0088941,           0.0088941
                 116,            0.051188,            0.016528,           0.0079426,             0.65923,             0.47195,             0.51014,             0.21662,             0.04521,             0.01288,           0.0057569,           0.0088755,           0.0088755,           0.0088755
                 117,            0.048195,              0.0159,           0.0067822,             0.60783,             0.51538,             0.52549,             0.22235,            0.047193,            0.012735,           0.0055317,           0.0088567,           0.0088567,           0.0088567
                 118,            0.050074,            0.016468,           0.0073127,             0.58629,             0.53365,              0.5345,             0.21294,            0.045964,            0.012554,            0.005683,           0.0088378,           0.0088378,           0.0088378
