               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 135,             0.04728,            0.015383,           0.0059298,             0.69155,              0.5641,             0.59479,             0.26022,            0.043249,             0.01222,           0.0045502,           0.0084971,           0.0084971,           0.0084971
                 136,            0.049886,            0.016431,           0.0068068,              0.6736,             0.57072,             0.60163,             0.25444,            0.043128,            0.012263,           0.0045691,           0.0084759,           0.0084759,           0.0084759
                 137,            0.047679,            0.016044,           0.0065617,              0.7024,             0.59392,              0.6217,             0.27437,            0.041912,            0.011931,           0.0039744,           0.0084546,           0.0084546,           0.0084546
                 138,              0.0485,            0.015644,           0.0056008,             0.68332,             0.54332,             0.57092,              0.2441,            0.043214,            0.012083,           0.0040742,           0.0084333,           0.0084333,           0.0084333
                 139,            0.049347,             0.01593,            0.006607,             0.65341,             0.61229,             0.61986,             0.26598,            0.042764,            0.011852,             0.00395,           0.0084118,           0.0084118,           0.0084118
                 140,            0.046811,            0.015567,            0.004917,             0.72006,             0.57803,             0.62542,             0.26785,            0.043503,            0.012049,           0.0042114,           0.0083901,           0.0083901,           0.0083901
                 141,            0.047816,             0.01598,             0.00604,             0.80321,             0.58022,             0.65071,             0.28795,            0.041258,            0.011845,           0.0040875,           0.0083684,           0.0083684,           0.0083684
                 142,            0.045868,            0.014869,           0.0059408,             0.72316,             0.62708,             0.65159,             0.28292,            0.041098,            0.011913,           0.0039298,           0.0083466,           0.0083466,           0.0083466
                 143,            0.046847,             0.01477,           0.0056181,             0.70601,             0.57152,             0.59216,             0.23499,            0.043492,            0.011942,           0.0040927,           0.0083246,           0.0083246,           0.0083246
                 144,            0.049991,            0.016035,           0.0055999,             0.74058,             0.62479,             0.64379,             0.28022,            0.040472,            0.011499,           0.0037615,           0.0083025,           0.0083025,           0.0083025
                 145,            0.048364,            0.015967,           0.0047476,             0.74798,              0.5924,             0.62682,             0.27585,             0.04091,            0.011703,           0.0038582,           0.0082804,           0.0082804,           0.0082804
                 146,            0.046193,            0.015341,           0.0049592,             0.73177,             0.63587,             0.65634,             0.28332,            0.040968,            0.011651,           0.0036931,           0.0082581,           0.0082581,           0.0082581
                 147,            0.048084,             0.01546,           0.0053146,              0.6833,             0.61828,             0.62518,             0.27601,            0.041073,            0.011846,           0.0039187,           0.0082357,           0.0082357,           0.0082357
                 148,            0.047065,            0.015616,           0.0052746,              0.6678,              0.6096,             0.62536,             0.27554,            0.041522,            0.012015,           0.0038879,           0.0082132,           0.0082132,           0.0082132
                 149,            0.048711,            0.015387,           0.0064792,             0.73868,              0.5813,             0.61461,             0.27306,            0.041563,            0.011812,           0.0039009,           0.0081906,           0.0081906,           0.0081906
                 150,            0.045913,            0.015028,           0.0055107,             0.72928,             0.61131,             0.63364,             0.27961,            0.041172,             0.01171,           0.0036212,           0.0081679,           0.0081679,           0.0081679
                 151,             0.04691,            0.015834,           0.0049949,             0.76418,             0.63256,             0.68057,              0.3051,            0.040615,            0.011596,           0.0033161,            0.008145,            0.008145,            0.008145
                 152,            0.046011,            0.015709,            0.005311,             0.78825,             0.60131,             0.65306,             0.29104,            0.042172,            0.011684,              0.0035,           0.0081221,           0.0081221,           0.0081221
                 153,            0.046521,            0.015834,           0.0053203,             0.77878,              0.6278,             0.67348,             0.30708,             0.04001,            0.011536,           0.0035701,           0.0080991,           0.0080991,           0.0080991
                 154,             0.04796,            0.014876,           0.0046852,             0.76801,              0.6098,              0.6557,             0.27876,            0.040344,            0.011668,           0.0036896,           0.0080759,           0.0080759,           0.0080759
                 155,            0.046268,            0.014982,           0.0053552,             0.73177,             0.64473,             0.66774,             0.29945,            0.039441,            0.011439,           0.0033321,           0.0080527,           0.0080527,           0.0080527
                 156,             0.04671,            0.014926,           0.0054081,             0.76109,             0.62293,             0.67068,             0.30349,            0.039842,            0.011477,            0.003213,           0.0080294,           0.0080294,           0.0080294
                 157,            0.048176,            0.015978,           0.0048364,             0.77631,             0.62132,             0.67724,             0.30322,            0.040369,            0.011531,           0.0033648,           0.0080059,           0.0080059,           0.0080059
